text,intent
cara pepes yang benar gimana,tanya_informasi
cara oseng yang benar gimana,tanya_informasi
cumi yang empuk dong,cari_resep
kwetiau bisa diganti apa,tanya_alternatif
aku vegetarian,informasi_kondisi_kesehatan
tahu bisa diganti apa,tanya_alternatif
resep ayam yang enak,cari_resep
mau masak kwetiau yang gulai,cari_resep
kalori mie berapa,tanya_informasi
gimana cara masak kentang,cari_resep
resep daging rebus yang pedas,cari_resep_kompleks
mau masak cumi,cari_resep
bikin ikan pake balado,cari_resep
mau masak ikan,cari_resep
nutrisi wortel,tanya_informasi
tuna bisa diganti apa,tanya_alternatif
pengen bikin tempe,cari_resep
tuna bakar tanpa gula untuk asam urat,cari_resep_kompleks
saya punya hipertensi,informasi_kondisi_kesehatan
resep kentang tumis yang manis,cari_resep_kompleks
bikin nasi pake panggang,cari_resep
bikin daging pake tumis,cari_resep
punya maag boleh makan apa,informasi_kondisi_kesehatan
ga ada daging bisa pake apa,tanya_alternatif
aku hipertensi,informasi_kondisi_kesehatan
substitusi wortel dengan apa,tanya_alternatif
ga ada tempe bisa pake apa,tanya_alternatif
nutrisi tempe,tanya_informasi
resep salmon pepes yang lembut,cari_resep_kompleks
lagi hipertensi nih,informasi_kondisi_kesehatan
substitusi brokoli dengan apa,tanya_alternatif
pengganti kambing,tanya_alternatif
lagi asam urat nih,informasi_kondisi_kesehatan
resep telur gulai yang manis,cari_resep_kompleks
telur yang empuk dong,cari_resep
resep telur yang enak,cari_resep
alternatif tahu apa ya,tanya_alternatif
mau salmon yang empuk dan gulai ga boleh susu,cari_resep_kompleks
mau masak bihun yang rebus tapi tanpa susu,cari_resep_kompleks
bikin telor rendang buat kolesterol tanpa susu,cari_resep_kompleks
cara bakar yang benar gimana,tanya_informasi
terima kasih,chitchat
lagi maag nih,informasi_kondisi_kesehatan
mau masak kwetiau,cari_resep
substitusi pasta dengan apa,tanya_alternatif
alternatif daging apa ya,tanya_alternatif
ada alergi ga boleh apa,informasi_kondisi_kesehatan
mau masak sapi yang kukus,cari_resep
kalori jagung berapa,tanya_informasi
bikin kwetiau pake goreng,cari_resep
pengen bikin kambing,cari_resep
resep kentang rebus yang asam,cari_resep_kompleks
bedanya panggang sama pepes,tanya_informasi
pasta bisa diganti apa,tanya_alternatif
aku vegetarian,informasi_kondisi_kesehatan
bikin telur goreng buat alergi tanpa keju,cari_resep_kompleks
pengen bikin ikan,cari_resep
ikan rebus tanpa kacang untuk alergi,cari_resep_kompleks
mau masak kentang yang tumis,cari_resep
kalori ikan berapa,tanya_informasi
bedanya oseng sama kukus,tanya_informasi
bayam yang pedas dong,cari_resep
pengen tempe balado,cari_resep
resep kentang crispy,cari_resep
cara gulai yang benar gimana,tanya_informasi
punya maag boleh makan apa,informasi_kondisi_kesehatan
bikin wortel pake pepes,cari_resep
substitusi kentang dengan apa,tanya_alternatif
ada diabetes ga boleh apa,informasi_kondisi_kesehatan
saya punya alergi,informasi_kondisi_kesehatan
aku diabetes,informasi_kondisi_kesehatan
pengen bikin pasta,cari_resep
alternatif mie apa ya,tanya_alternatif
pengen tuna manis ga pake mentega,cari_resep_kompleks
mau masak kangkung,cari_resep
pengen bikin sapi,cari_resep
asam urat pantangannya apa,informasi_kondisi_kesehatan
pasta kandungannya apa,tanya_informasi
saya punya maag,informasi_kondisi_kesehatan
alternatif telor apa ya,tanya_alternatif
mau masak tuna,cari_resep
pasta yang lembut dong,cari_resep
bikin bihun goreng buat maag tanpa gula,cari_resep_kompleks
tempe bisa diganti apa,tanya_alternatif
resep ikan asam,cari_resep
asam urat pantangannya apa,informasi_kondisi_kesehatan
gimana cara masak kentang,cari_resep
saya punya diet,informasi_kondisi_kesehatan
pengganti sapi,tanya_alternatif
substitusi bihun dengan apa,tanya_alternatif
aku diabetes,informasi_kondisi_kesehatan
mie panggang tanpa kacang untuk hipertensi,cari_resep_kompleks
bayam balado tanpa santan untuk vegetarian,cari_resep_kompleks
mau masak kambing yang bakar tapi tanpa msg,cari_resep_kompleks
ada resep bayam ga,cari_resep
bikin bihun pake rica rica,cari_resep
bikin nasi goreng buat maag tanpa susu,cari_resep_kompleks
sapi kandungannya apa,tanya_informasi
ayam rebus tanpa msg untuk diet,cari_resep_kompleks
mau masak nasi yang rebus tapi tanpa tepung,cari_resep_kompleks
bayam kandungannya apa,tanya_informasi
ga ada daging bisa pake apa,tanya_alternatif
ada resep udang ga,cari_resep
mau masak tahu yang rica rica,cari_resep
nutrisi telor,tanya_informasi
bedanya oseng sama kukus,tanya_informasi
alergi pantangannya apa,informasi_kondisi_kesehatan
substitusi kambing dengan apa,tanya_alternatif
pengen sapi rica rica,cari_resep
daging bisa diganti apa,tanya_alternatif
punya kolesterol boleh makan apa,informasi_kondisi_kesehatan
saya punya asam urat,informasi_kondisi_kesehatan
ada maag ga boleh apa,informasi_kondisi_kesehatan
cariin resep tempe,cari_resep
resep cumi rebus yang renyah,cari_resep_kompleks
jagung oseng tanpa santan untuk alergi,cari_resep_kompleks
mau masak tahu,cari_resep
resep kentang balado yang segar,cari_resep_kompleks
